Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
2023,"199,83","218,09","211,29","223,02","206,79","191,91","183,30","177,29","162,63","158,18","172,58","188,69"
2022,"268,93","285,44","252,79","263,19","254,56","248,68","208,65","209,34","210,58","196,61","174,62","189,21"
2021,"119,57","128,00","128,62","134,43","153,33","158,15","147,75","146,91","161,35","201,05","231,62","255,50"
2020,"120,27","112,90","116,75","109,05","100,66","98,75","101,41","101,67","101,87","92,77","102,02","114,36"
2019,"107,04","107,01","101,13","97,74","98,20","110,88","117,05","103,89","101,09","99,45","108,14","125,25"
2018,"134,87","132,63","128,66","126,31","123,19","123,18","125,22","117,15","107,23","112,76","113,25","105,41"
2017,"161,54","163,06","155,90","153,20","146,12","143,50","159,13","162,52","152,70","136,62","138,43","136,65"
2016,"121,39","120,82","135,50","134,36","135,26","145,22","155,80","156,61","155,21","160,15","165,98","149,58"
2015,"177,74","165,62","149,16","149,45","144,79","151,12","135,75","135,27","119,60","122,08","117,53","123,18"
2014,"115,33","142,68","185,20","193,21","181,83","172,37","169,27","175,89","170,38","187,05","182,75","177,33"
